event_date;event;source
21/11/2022;On 21 November 2022, Al Aqsa Martyrs Brigade (Fatah Movement) militants and Katibat Nablus (PIJ) opened fire at Israeli forces on Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
22/11/2022;On 22 November 2022, Palestinian gunmen from Katibat Nablus (PIJ) opened fire on Israeli military forces positioned at Bayt Furik checkpoint (Nablus, West Bank). There were no casualties.;Quds News Network
23/11/2022;On 23 November 2022, Al Aqsa Martyrs Brigade (Fatah Movement) militants opened fire at Israeli forces on the Azzun checkpoint (Qalqilya, West Bank). No casualties occurred.;Long War Journal
24/11/2022;On 24 November 2022, PIJ affiliated Katibat Tulkarm opened fire at Israeli forces in Tulkarm (Tulkarm, West Bank) during a military operation.;Long War Journal
26/11/2022;On 26 November 2022, an unidentified Palestinian group opened fire at Israeli forces positioned at Huwwarah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
27/11/2022;On 27 November 2022, an unidentified Palestinian group opened fire at Israeli forces in Jaba (Jenin, West Bank). No casualties occurred.;Long War Journal
28/11/2022;On 28 November 2022, an unidentified Palestinian armed group opened fire on Israeli military forces operating in Yabad town (Jenin, West Bank). There were no casualties.;Quds News Network
29/11/2022;On 29 November 2022, a Palestinian with no political affiliation carried out a ramming attack against an Israeli soldier before being chased and shot dead by the Israeli border police north of Al Bireh city near Kokhav Yaaqov settlement (Al Quds, West Bank). The soldier was moderately injured.;"AFP; Al-Ittihad; Arab 48; BBC News; Dunia Al Watan; GardaWorld; Haaretz; Israeli Defense Forces; Joe Truzman; Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Press TV; Quds News Network; Times of Israel; Twitter; Xinhua"
30/11/2022;On 30 November 2022, an unidentified Palestinian armed group threw an explosive device toward Israeli military forces positioned at Qalandia checkpoint (Al Quds, West Bank). There were no casualties.;Quds News Network
01/12/2022;On 1 December 2022, PIJ affiliated Katibat Jenin opened fire towards Shaked settlement (Jenin, West Bank). No casualties occurred.;Long War Journal
02/12/2022;On 2 December 2022, a Bedouin man was shot and injured by unidentified gunmen near Omer (Beer Sheva, HaDarom) in what is believed to be a tribal bloodfeud attack. Authorities believe that the attack on the man was 'blood revenge' in response to the murder of a Bedouin woman in October, and that it is part of a conflict between rival factions within the same family.;Ynet
03/12/2022;On 3 December 2022, an unidentified armed group fired a rocket toward southern Israel, causing sirens to be activated in Kefar Azza and Nahal Oz (Ashqelon, HaDarom). The rocket landed in an open field near Nahal Oz. No damage or injuries were caused. No armed group has claimed responsibility, but Israeli authorities believe that the PIJ fired the rocket in response to the recent killing of two PIJ militants.;"Haaretz; N12; Times of Israel"
04/12/2022;On 4 December 2022, PIJ affiliated Katibat Nablus opened fire at Israeli forces position in Sarrah (Nablus, West Bank). No casualties occurred.;Long War Journal
05/12/2022;On 5 December 2022, Palestinian militants from Katibat Nablus (PIJ) opened fire on Israeli military forces positioned in Har Gerizim (Nablus, West Bank). There were no casualties.;Quds News Network
06/12/2022;On 6 December 2022, an unidentified Palestinian group opened fire towards Elon Moreh settlement (Nablus, West Bank). No casualties occurred.;Long War Journal
07/12/2022;On 7 December 2022, Israeli military forces chased and shot dead a Palestinian gunman affiliated with Al Aqsa Martyrs Brigade, the military wing of Fatah Movement, in Dayr Dibwan village (Ramallah and Al Bireh, West Bank). The militant committed a shooting attack [coded separately] on an IDF post near the Ofra settlement before being chased and killed. There were no casualties among soldiers.;"Al-Ittihad; AP; Arab 48; Arutz Sheva; Dunia Al Watan; Haaretz; Joe Truzman; Liveuamap; Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter"
08/12/2022;On 8 December 2022, an unidentified Palestinian group opened fire at Israeli forces near Al Murabaa junction southern Nablus (Nablus, West Bank). No casualties occurred.;Long War Journal
09/12/2022;On 9 December 2022, an unidentified Palestinian armed group opened fire on Israeli military forces positioned in Har Gerizim (Nablus, West Bank). There were no casualties.;Quds News Network
10/12/2022;On 10 December 2022, Palestinian militants from Katibat Nablus (PIJ) opened fire on Israeli military forces positioned at Huwwarah checkpoint (Nablus, West Bank). There were no casualties.;Quds News Network
11/12/2022;On 11 December 2022, Palestinian militants affiliated with the PIJ's Katibat Balata opened fire on Israeli military forces positioned at the checkpoint of Shavei Shomron (Nablus, West Bank). There were no casualties.;Arab 48
12/12/2022;On 12 December 2022, an unidentified Palestinian armed group opened fire on Israeli military forces positioned at Bayt Furik checkpoint (Nablus, West Bank). There were no casualties.;Arab 48
13/12/2022;On 13 December 2022, an unidentified Palestinian armed group opened fire on Israeli military forces positioned at Al Jalamah checkpoint (Jenin, West Bank). There were no casualties.;Quds News Network
14/12/2022;On 14 December 2022, Fatah affiliated Katibat Nablus opened fire at Israeli forces on the Huwwarah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
15/12/2022;On 15 December 2022, Fatah's Al Aqsa Martyrs Brigade opened fire at Israeli forces positioned at the Bayt Furik checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
16/12/2022;On 16 December 2022, an unidentified Palestinian armed group hurled an explosive device toward the Israeli military checkpoint of Qalandia (Al Quds, West Bank). There were no casualties.;Quds News Network
17/12/2022;On 17 December 2022, an unidentified Palestinian armed group hurled an explosive device toward the Israeli military checkpoint of Al Jalamah (Jenin, West Bank). There were no casualties.;Quds News Network
18/12/2022;On 18 December 2022, Fatah-affiliated Katibat Nablus militants opened fire at Israeli forces position at Tur Gate in Nablus and Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
19/12/2022;On 19 December 2022, an unidentified Palestinian armed group hurled 2 explosive devices toward the Israeli military checkpoint of Qalandia (Al Quds, West Bank). There were no casualties.;Quds News Network
20/12/2022;On 20 December 2022, an unidentified Palestinian armed group opened fire toward the Israeli settlement of Elon Moreh (Nablus, West Bank). There were no casualties.;Quds News Network
21/12/2022;On 21 December 2022, an unidentified Palestinian group opened fire at Israeli forces position at the Salim checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
22/12/2022;On 22 December 2022, Lion's Den militants clashed with Israeli forces that raided Al Mintaqa ash Sharqiyah in Nablus city (Nablus, West Bank). The militants also targeted the Israeli forced with IEDs. No casualties occurred.;Long War Journal
23/12/2022;On 23 December 2022, an unidentified Palestinian group opened fire at an Israeli military position on Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
24/12/2022;On 24 December 2022, Katibat Nablus (PIJ) opened fire on the Israeli military post of Har Gerizim (Nablus, West Bank). 1 Israeli soldier was injured.;Quds News Network
25/12/2022;On 25 December 2022, PIJ affiliated Katibat Nablus opened fire, and threw IEDS, towards Israeli forces positioned on Har Gerizim (Nablus, West Bank). Israeli soldiers were injured [unconfirmed by IDF].;Long War Journal
26/12/2022;On 26 December 2022, PIJ affiliated Katibat Jenin militants opened fire at Israeli forces positioned on Salim checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
27/12/2022;On 27 December 2022, an unidentified Palestinian armed group threw explosive devices toward Israeli military forces positioned at the entrance of Azzun village (Qalqilya, West Bank). There were no casualties.;Quds News Network
28/12/2022;On 28 December 2022, an unidentified Palestinian armed group opened fire on Israeli military forces who raided Mukhayyam al Amari Camp (Ramallah and Al Bireh, West Bank). There were no casualties.;"Arab 48; Ma'an News Agency"
30/12/2022;On 30 December 2022, Katibat Birqin (PIJ) and Al Aqsa Martyr's Brigade (Fatah) opened fire at Israeli forces positioned at the security fence and a watchtower in Arabbunah (Jenin, West Bank). No casualties occurred.;Long War Journal
31/12/2022;On 31 December 2022, an unidentified Palestinian armed group threw explosive devices toward the Israeli military checkpoint of Mevo Dotan (Jenin, West Bank). There were no casualties.;Arab 48
01/01/2023;On 1 January 2023, an unidentified Palestinian group opened fire at Israel forces on the Salim checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
02/01/2023;On 2 January 2023, an unidentified Palestinian group opened fire at an Israeli military position on Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
03/01/2023;On 3 January 2023, an unidentified Palestinian group opened fire at Israeli forces positioned at the Qalandia checkpoint (Al Quds, West Bank). No casualties occurred.;Long War Journal
04/01/2023;On 4 January 2023, an unidentified Palestinian armed group opened fire toward the Israeli military checkpoint of Qalandia (Al Quds, West Bank). There were no casualties.;Quds News Network
05/01/2023;On 5 January 2023, PIJ affiliated Katibat Jenin clashed with Israeli military forces that raided Jenin (Jenin, West Bank). No casualties occurred.;Long War Journal
06/01/2023;On 6 January 2023, a group of Israeli settlers opened fire toward Palestinians in Qarawat Bani Hassan village (Salfit, West Bank). There were no casualties.;PLO Negotiations Affairs Department
07/01/2023;On 7 January 2023, an unidentified Palestinian armed group opened fire on Israeli military forces positioned at Al Jalamah checkpoint (Jenin, West Bank). There were no casualties.;Arab 48
08/01/2023;On 8 January 2023, an unidentified Palestinian armed group opened fire toward a passing Israeli settler vehicle near Havat Gilad settlement (Qalqilya, West Bank). There were no casualties.;Arab 48
09/01/2023;On 9 January 2023, an unidentified Palestinian armed group exchanged fire with Israeli military forces who raided Shuwaykah village (Tulkarm, West Bank) to arrest a wanted person. There were no casualties.;Times of Israel
10/01/2023;On 10 January 2023, Fatah's Al Aqsa Martyrs Brigade opened fire towards Israeli forces that raided Rafidiyah neighborhood in Nablus city (West Bank). There were no casualties.;Long War Journal
11/01/2023;On 11 January 2023, an unidentified Palestinian group opened fire at Israel forces on the Salim checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
12/01/2023;On 12 January 2023, PIJ affiliated Katibat Nablus opened fire at Israeli military position in Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
13/01/2023;On 13 January 2023, a Palestinian sustained bruises and was taken to a hospital for treatment after an Israeli settler rammed him in his car near the junction of An Nabi Ilyas village (Qalqilya, West Bank). It was not reported whether the incident was intentional.;PLO Negotiations Affairs Department
14/01/2023;On 14 January 2023, an unidentified Palestinian group opened fire at Israeli forces position at the Bayt Furik checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
15/01/2023;On 15 January 2023, PIJ affiliated Katibat Jaba opened fire towards the Hermesh settlement (Tulkarm, West Bank). No casualties occurred.;Long War Journal
16/01/2023;On 16 January 2023, Fatah's Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned at Bartaa (coded to Ash Sharqiyah) checkpoint (Jenin, West Bank). No casualties occurred.;Long War Journal
17/01/2023;On 17 January 2023, an unidentified Palestinian group opened fire towards the Shaked settlement (Jenin, West Bank). No casualties occurred.;Long War Journal
18/01/2023;On 18 January 2023, an unidentified Palestinian armed group opened fire toward the Israeli military observation post near the entrance of Bayt Ummar village (Hebron, West Bank). There were no casualties.;"Quds News Network; Twitter"
19/01/2023;On 19 January 2023, an unidentified Palestinian group opened fire towards Israeli forces positioned at the Mevo Dotan checkpoint (Jenin, West Bank). No casualties occurred.;Long War Journal
20/01/2023;On 20 January 2023, an unidentified Palestinian group opened fire at Israeli forces positioned at the Salim checkpoint. No casualties occurred.;Long War Journal
21/01/2023;On 21 January 2023, an unidentified Palestinian armed group opened fire toward the Israeli military checkpoint of Salim near Rummanah village (Jenin, West Bank). There were no casualties.;Arab 48
22/01/2023;On 22 January 2023, an unidentified Palestinian group opened fire at an Israel military position in Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
23/01/2023;On 23 January 2023, PIJ affiliated Katibat Nablus opened fire at Israeli military position in Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
24/01/2023;On 24 January 2023, PIJ affiliated Katibat Nablus opened fire at Israeli military position in Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
25/01/2023;On 25 January 2023, a Palestinian affiliated with Hamas Movement attempted to carry out a stabbing attack at an Israeli military post near Kedumim settlement and Jit village (Qalqilya, West Bank) before being shot dead by Israeli soldiers. There were no casualties among soldiers.;"Al-Ittihad; Arab 48; Arutz Sheva; Dunia Al Watan; Israeli Defense Forces; Joe Truzman; Ma'an News Agency; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter"
26/01/2023;On 26 January 2023, Lion's Den militants opened fire at Israeli forces positioned at point 17 in Asirah ash Shamaliyah (Nablus, West Bank), causing injuries among Israeli forces [unconfirmed by IDF].;Long War Journal
27/01/2023;On 27 January 2023, PIJ affiliated Katibat Nablus opened fire at an Israeli military position on Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
28/01/2023;On 28 January 2023, PIJ affiliated Katibat Nablus opened fire at Israeli forces positioned at point 17 in Asirah ash Shamaliyah (Nablus, West Bank). No casualties occurred.;Long War Journal
29/01/2023;On 29 January 2023, an unidentified Palestinian group opened fire at Israel forces positioned at the Bayt Furik checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
30/01/2023;On 30 January 2023, an unidentified Palestinian group opened fire, from a passing vehicle, towards Israeli security forces at the eastern entrance of Jericho (Jericho, West Bank). No casualties occurred.;Long War Journal
31/01/2023;On 31 January 2023, an unidentified Palestinian group opened fire towards the Shavei Shomron settlement (Nablus, West Bank). No casualties occurred.;Long War Journal
01/02/2023;On 1 February 2023, Lion's Den militants opened fire towards Israeli forces positioned at Sarrah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
02/02/2023;On 2 February 2023, PIJ affiliated Katibat Nablus militants opened fire towards Israeli forces positioned at Sarrah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
03/02/2023;On 3 February 2023, an unidentified Palestinian armed group opened fire toward a passing Israeli settler vehicle near Rawabi city (Ramallah and Al Bireh, West Bank), causing material damage to the car. There were no casualties.;"Dunia Al Watan; Ma'an News Agency; Times of Israel"
04/02/2023;On 4 February 2023, Israeli police severely beat a Palestinian worker while working in Israel. The worker was injured and taken from Salem Crossing, near Maale Iron (Hadera, Haifa), to the Jenin Hospital for medical treatment.;Palestine News and Information Agency
05/02/2023;On 5 February 2023, Al Aqsa Martyrs Brigade carried out a shooting attack on Israeli military forces who raided Aja village (Jenin, West Bank) and threw an explosive device toward them. There were no casualties.;"Arab 48; Dunia Al Watan"
06/02/2023;On 6 February 2023, an unidentified Palestinian group opened fire at the DCL checkpoint in Jericho (Jericho, West Bank). No casualties occurred.;Long War Journal
07/02/2023;On 7 February 2023, Al Aqsa Martyrs Brigade, the military wing of Fatah, carried out a shooting attack at the Israeli military checkpoint of Salim near Rummanah village (Jenin, West Bank). There were no casualties.;Newpress
08/02/2023;On 8 February 2023, PIJ affiliated Katibat Nablus militants opened fire at an Israeli military patrol on Askar street in Nablus (Nablus, West Bank). No casualties occurred.;Long War Journal
09/02/2023;On 9 February 2023, Israeli soldiers shot and killed a 22-year-old Palestinian after he attempted to stab a soldier at the entrance of Mukhayyam al Fawwar Camp (Hebron, West Bank). The attacker was armed with a knife and his political affiliation is unknown. There were no casualties among soldiers.;"Al-Ittihad; AP; Arutz Sheva; Dunia Al Watan; Haaretz; Jerusalem Post; Ma'an News Agency; Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Press TV; Quds News Network; Times of Israel; Twitter"
10/02/2023;On 10 February 2023, Lion's Den and Al Aqsa Martyrs Brigade (Fatah) militants opened fire at an Israeli military position in Har Gerizim (Nablus, West Bank). No casualties occurred.;Long War Journal
11/02/2023;On 11 February 2023, unidentified Palestinian armed gunmen opened fire at the Israeli military checkpoint of Mevo Dotan (Jenin, West Bank). There were no casualties.;"Newpress; Twitter"
12/02/2023;On 12 February 2023, an unidentified Palestinian group clashed with Israeli forces on Al Shuhadah roundabout at the entrance of Qabatiyah (Jenin, West Bank). 1 Palestinian was injured.;Long War Journal
13/02/2023;On 13 February 2023, Katibat Jaba (PIJ) and Al Aqsa Martyrs Brigade (Fatah) militants clashed with Israeli forces that raided Silat al Harithiyah (Jenin, West Bank). 3 Israeli soldiers were injured.;Long War Journal
14/02/2023;On 14 February 2023, an unidentified Palestinian group opened fire at Israeli forces positioned on Al Jalamah checkpoint (Jenin, West Bank). No casualties occurred.;Long War Journal
15/02/2023;On 15 February 2023, an unidentified Palestinian group opened fire at an Israeli military position in Salim (Nablus, West Bank). No casualties occurred.;Long War Journal
16/02/2023;On 16 February 2023, PIJ affiliated Katibat Nablus militants opened fire at an Israeli military position in Har Gerizim (Nablus, West Bank) causing injuries to Israeli soldiers [unconfirmed by IDF].;Long War Journal
17/02/2023;On 17 February 2023, unidentified Palestinians at Israeli military vehicle at the entrance of Azzun village (Qalqilya, West Bank), causing material damage. There were no casualties.;"Quds News Network; Twitter"
18/02/2023;On 18 February 2023, an unidentified Palestinian gunman (or gunmen) opened fire at the Israeli military checkpoint of Al Jalamah (Jenin, West Bank). Also, an explosive device was thrown at the checkpoint. There were no casualties.;"Newpress; Quds News Network; Twitter"
19/02/2023;On 19 February 2023, Palestinian gunmen affiliated with the Al Aqsa Martyrs Brigade, the military wing of Fatah, opened fire toward Israeli military forces positioned at crossing 104 (Nitsani Oz and Jabara checkpoints) west of Tulkarm city near Jabara (coded to Khirbat Jubarah). There were no casualties.;"Israeli Defense Forces; Newpress; Quds News Network; Twitter"
20/02/2023;On 20 February 2023, Palestinian militants from The Lion's Den clashed with Israeli military forces who raided Nablus city (Nablus, West Bank) to map 2 Palestinian houses for later demolition. Meanwhile, Palestinian rioters clashed with soldiers who fired live and rubber bullets, stun grenades, and tear gas canisters. One Palestinian was injured in the leg with a live bullet, and another 20 suffered from tear gas inhalation. There were no casualties among soldiers.;"Arab 48; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter"
21/02/2023;On 21 February 2023, unidentified Palestinian militants opened fire at the Palestinian police station of Al Yamun (Jenin, West Bank), injuring 2 officers. The police spokesperson said that one of the gunmen was arrested. It is unclear whether the incident is politically motivated.;"Arab 48; Dunia Al Watan; Palestine News and Information Agency; Quds News Network; Twitter"
22/02/2023;On 22 February 2023, an unidentified Palestinian group opened fire at an Israeli forces in the Huwwarah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
23/02/2023;On 23 February 2023, an unidentified Palestinian group opened fire toward the Israeli military checkpoint of Bayt Furik (Nablus, West Bank). There were no casualties.;Long War Journal
24/02/2023;On 24 February 2023, unidentified Palestinian(s) threw explosive devices at the Israeli military checkpoint of Qalandia (Al Quds, West Bank). There were no casualties.;Ma'an News Agency
25/02/2023;On 25 February 2023, Fatah's Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned near the security fence at the entrance of Dayr al Ghusun (Tulkarm, West Bank). No casualties occurred.;Long War Journal
26/02/2023;On 26 February 2023, a Palestinian gunman shot dead 2 Israeli settlers who were brothers in Huwwarah village (Nablus, West Bank). The gunman carried out the shooting attack at close range and fled the scene. Some Palestinian sources claimed that the gunman was wearing a shirt with the Lion's Den group logo, but it's unconfirmed. One of the killed settlers served in the Israeli Navy in the past. The settlers were from Berakha / Har Bracha settlement. On 7 March 2023, the attacker was killed during an Israeli operation in Jenin Camp [coded separately] and Hamas Movement confirmed that he was a member of its military wing.;"AFP; Anadolu Agency; AP; Arutz Sheva; BBC News; Dunia Al Watan; GardaWorld; Haaretz; Israeli Defense Forces; Jerusalem Post; Joe Truzman; Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Times of Israel; Twitter; Xinhua"
27/02/2023;On 27 February 2023, Fatah's Katibat Tulkarm - Quick Response militants opened fire at Israeli forces in Avnei Hefetz (Tulkarm, West Bank) causing injuries to Israeli soldiers [unconfirmed by IDF].;Long War Journal
28/02/2023;On 28 February 2023, an unidentified Palestinian group opened fire at Israeli forces positioned at the Jabara checkpoint in Khirbat Jubarah (Tulkarm, West Bank). No casualties occurred.;Long War Journal
01/03/2023;On 1 March 2023, Palestinian militants exchanged fire with Israeli soldiers who entered Mukhayyam Aqabat Jabr Camp (Jericho, West Bank) to arrest three suspects behind the killing of an Israeli-American man near Jericho 2 days earlier. Israeli troops fired a missile after surrounding a building. 2 suspects were arrested, and a third person was seriously injured with a live bullet and later succumbed to his wounds. Also, 2 Palestinians were injured. There were no casualties among soldiers. Al Aqsa Martyrs Brigade, the military wing of Fatah, said that the killed militant was one of its members. It's unclear if the other militants were members of the Brigade or other militant groups.;"Al-Ittihad; AP; Arab 48; Dunia Al Watan; Haaretz; Ma'an News Agency; Newpress; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter"
02/03/2023;On 2 March 2023, an unidentified Palestinian group opened fire at an Israeli forces on the Huwwarah checkpoint (Nablus, West Bank). No casualties occurred.;Long War Journal
03/03/2023;On 3 March 2023, Fatah's Katibat Tulkarm - Rapid Response opened fire towards Israeli forces on Enav checkpoint (Tulkarm, West Bank). No casualties occurred.;Long War Journal
04/03/2023;On 4 March 2023, unidentified Palestinian militants opened fire at Israeli military forces positioned in Jalbun village (Jenin, West Bank). There were no casualties.;"Newpress; Twitter"
05/03/2023;On 5 March 2023, an unidentified Palestinian group clashed with Israeli forces in Jalbun (Jenin, West Bank) during a security operation. No casualties occurred.;Long War Journal
06/03/2023;On 6 March 2023, Fatah's Al Aqsa Martyrs Brigade militants opened fire at Israeli forces at the Qalandia checkpoint (Al Quds, West Bank). No casualties occurred.;Long War Journal
07/03/2023;On 7 March 2023, a group of Israeli settlers opened fire toward a Palestinian-owned shop in Huwwarah village (Nablus, West Bank). There were no casualties.;PLO Negotiations Affairs Department
08/03/2023;On 8 March 2023, PIJ affiliated Katibat Nablus opened fire at an Israeli military position on Har Gerizim (Nablus, West Bank) causing injuries among Israeli forces [unconfirmed by IDF].;Long War Journal
09/03/2023;On 9 March 2023, a Palestinian gunmen affiliated with the Hamas Movement shot and injured three Israeli civilians in Tel Aviv city before being shot dead in a shootout. Two of the Israelis were seriously injured, while the third was moderately wounded. Two police officers, an army reservist, and an armed civilian shot the assailant dead while he was attempting to flee the scene. Eleven days following the attack, one of the victims died after succumbing to his wounds.;"Haaretz; N12; Times of Israel"
10/03/2023;On 10 March 2023, a Palestinian with unknown political affiliation attacked the Havat Dorot Illit settlement farm near the Maale Shomron settlement (Qalqilya, West Bank). The attacker who was armed with knives, hurled two explosive devices before being shot dead by a settler. There were no casualties among Israelis.;"Al Ghad (Jordan); Anadolu Agency; Arab 48; Dunia Al Watan; Ma'an News Agency; Palestine News and Information Agency; Palestinian News Network; Press TV; Quds News Network; Times of Israel; Twitter"
11/03/2023;On 11 March 2023, Israeli settlers opened fire toward a Palestinian while driving his tractor in Turmus Ayya village in Turmus Ayya village (Ramallah and Al Bireh, West Bank). There were no casualties.;PLO Negotiations Affairs Department
12/03/2023;On 12 March 2023, a group of Israeli settlers opened fire at a passing Palestinian vehicle near the entrance of Ras Karkar village (Ramallah and Al Bireh, West Bank). Also, settlers threw stones at the passing cars. There were no casualties.;PLO Negotiations Affairs Department
13/03/2023;On 13 March 2023, the assailant who carried out the attempted bomb attack near Megiddo and escaped afterwards was spotted by Yamam counterterrorism unit near Yaara (Akko, HaZafon) following a manhunt. The officers opened fire at the suspect, killing him. The IDF said the suspect posed a danger to the security forces and had a primed explosives belt on him at the time.;Times of Israel
14/03/2023;On 14 March 2023, an unidentified Palestinian group opened fire at Israeli forces in Qalqilyah (Qalqilya, West Bank) during an operation. No casualties occurred.;Long War Journal
15/03/2023;On 15 March 2023, an unidentified Palestinian militant(s) opened fire at Israeli military forces who raided An Nassariyah village (Nablus, West Bank). There were no casualties.;Arab 48
16/03/2023;On 16 March 2023, PIJ Katibat Qabatiyah militants opened fire at Israeli forces on Al Shuhadah roundabout at the entrance of Qabatiyah (Jenin, West Bank). No casualties occurred.;Long War Journal
17/03/2023;On 17 March 2023, a group of Israeli settlers opened fire at a Palestinian near the settlement of Shavei Shomron (Nablus, West Bank). He was injured and taken to a hospital for treatment.;PLO Negotiations Affairs Department
18/03/2023;On 18 March 2023, an unidentified Palestinian armed group fired one rocket from Gaza toward southern Israel, causing sirens to sound in Nahal Oz (Ashqelon, HaDarom). The rocket landed in an open area near Nahal Oz. No injuries or material damages were reported.;"Haaretz; Jerusalem Post; N12; Ynet"
19/03/2023;On 19 March 2023, a group of Israeli settlers randomly opened fire toward Palestinian shops on the main road of Huwwarah town (Nablus, West Bank). There were no casualties.;PLO Negotiations Affairs Department
20/03/2023;On 20 March 2023, unidentified Palestinian militants opened fire at Israeli military forces who raided the area located between east of Nablus and Askar al Qadim Camp (Nablus, West Bank) to map out the house of the Palestinian who carried out the Huwwarah attack, for later demolition.;Ma'an News Agency
21/03/2023;On 21 March 2023, Fatah's Katibat Tulkarm - Quick Response militants opened fire at an Israeli military watchtower at the Sanur gate (Jenin, West Bank). No casualties occurred.;Long War Journal
22/03/2023;On 22 March 2023, a group of Israeli settlers opened fire toward a vehicle belonging to the Municipality of Salfit (Salfit, West Bank), causing damage to the front glass.;PLO Negotiations Affairs Department
23/03/2023;On 23 March 2023, a Palestinian militant who was the commander of the Katibat Tulkarm - Quick Response, exchanged fire with undercover Israeli border police and IDF troops during their attempt to arrest him after surrounding a house in Shufah village (Tulkarm, West Bank). The Palestinian was killed while another militant was arrested. There were no casualties among the troops. The Katibat Tulkarm - Quick Response is a newly formed group and affiliated with Fatah Movement - Al Aqsa Martyrs Brigade. Also, Hamas Movement confirmed that the killed militant was a member of its military armed wing.;"Al-Ittihad; Al Ghad (Jordan); AP; Arab 48; Arutz Sheva; Dunia Al Watan; Haaretz; Joe Truzman; Ma'an News Agency; Newpress; Palestine News and Information Agency; Palestinian News Network; PLO Negotiations Affairs Department; Press TV; Quds News Network; Times of Israel; Twitter; Xinhua"
24/03/2023;On 24 March 2023, Palestinian militants affiliated with Katibat As Samu (Fatah) opened fire toward passing settlers' vehicles near As Samu town (Hebron, West Bank). There were no casualties.;New Arab
25/03/2023;On 25 March 2023, an unidentified Palestinian group opened fire towards the Israeli checkpoint at Sarrah (Nablus, West Bank). There were no casualties.;Quds News Network
26/03/2023;On 26 March 2023, an unidentified Palestinian(s) opened fire toward the Avnei Hefetz settlement (Tulkarm, West Bank). A bullet hit one of the homes with no injuries. One civilian was treated for a panic attack.;"Arutz Sheva; Liveuamap; Quds News Network"
27/03/2023;On 27 March 2023, an unidentified Palestinian opened fire towards Israeli forces near Shavei Shomron settlement (Nablus, West Bank). No casualties occurred.;Newpress
28/03/2023;On 28 March 2023, unidentified Palestinian militants threw explosive devices and opened fire at Al Mouqataa complex, the Palestinian civil and security headquarter in Jenin city (Jenin, West Bank), following the security forces attempt to arrest a PIJ militant. In response, security forces were deployed in the city. There were no casualties.;"Joe Truzman; Quds News Network; Twitter"
29/03/2023;On 29 March 2023, Fatah's Katibat Tulkarm - Quick Response militants opened fire at an Israeli forces at the Sanur checkpoint (Jenin, West Bank). No casualties occurred.;Long War Journal
30/03/2023;On 30 March 2023, Palestinian militants affiliated with the PIJ's Katibat Jenin exchanged fire with Israeli military forces positioned at the checkpoint of Mevo Dotan (Jenin, West Bank). There were no casualties.;"Newpress; Twitter"
31/03/2023;On 31 March 2023, Katibat As Samu militants opened fire towards the Yatir settlement (Hebron, West Bank). Casualties unknown.;Long War Journal
01/04/2023;On 1 April 2023, an unidentified Palestinian armed group opened fire at Israeli forces at the Bayt Furik checkpoint (Nablus, West Bank). No casualties occurred.;Newpress
02/04/2023;On 2 April 2023, an unidentified armed group threw improvised explosives towards Israeli forces at Al Jalamah crossing (Jenin, West Bank). There were no casualties.;Quds News Network
03/04/2023;On 3 April 2023, Israeli warplanes intercepted a Hamas drone flying over Gaza (Gaza City, Gaza Strip) causing a loud explosion to which Al Qassam brigades launched anti-aircraft missiles at an Israeli warplane flying over Gaza after it targeted one of their military drones in a training.;"Dunia Al Watan; Ma'an News Agency"
